Cantidad Material: 8709
--------------------------------------------------------------------------------
|Material          |  Val.stk.valor.   |  Stock valorado   |    Cantidad SC    |
--------------------------------------------------------------------------------
|Total             | 7,226,638,763  COP| 1,466,348.000  ***|         0.000  ***|
|0000011408        |             0  COP|             0  UN |             0  UN |
|0000011419        |             0  COP|             0  UN |             0  UN |
|0000011420        |             0  COP|             0  UN |             0  UN |
|0000011431        |             0  COP|             0  UN |             0  UN |
|0000011442        |             0  COP|             0  UN |             0  UN |
|0000011844        |             0  COP|             0  UN |             0  UN |
|0000011855        |             0  COP|             0  UN |             0  UN |
|0000011866        |             0  COP|             0  UN |             0  UN |
|0000011877        |             0  COP|             0  UN |             0  UN |
|0000011888        |             0  COP|             0  UN |             0  UN |
|0000011899        |             0  COP|             0  UN |             0  UN |
|0000011903        |             0  COP|             0  UN |             0  UN |
|0000011914        |             0  COP|             0  UN |             0  UN |
|0000011925        |             0  COP|             0  UN |             0  UN |
|0000011936        |             0  COP|             0  UN |             0  UN |
|0000011947        |             0  COP|             0  UN |             0  UN |
|0000011958        |             0  COP|             0  UN |             0  UN |
|0000011969        |             0  COP|             0  UN |             0  UN |
|0000011970        |             0  COP|             0  UN |             0  UN |
|0000011981        |             0  COP|             0  UN |             0  UN |
|0000011992        |             0  COP|             0  UN |             0  UN |
|0000012003        |             0  COP|             0  UN |             0  UN |
|0000012014        |             0  COP|             0  UN |             0  UN |
|0000012025        |             0  COP|             0  UN |             0  UN |
|0000012036        |             0  COP|             0  UN |             0  UN |
|0000012047        |             0  COP|             0  UN |             0  UN |
|0000012058        |             0  COP|             0  UN |             0  UN |
|0000012069        |             0  COP|             0  UN |             0  UN |
|0000012070        |             0  COP|             0  UN |             0  UN |
|0000012081        |             0  COP|             0  UN |             0  UN |
|0000012106        |             0  COP|             0  UN |             0  UN |
|0000012117        |             0  COP|             0  UN |             0  UN |
|0000012210        |             0  COP|             0  UN |             0  UN |
|0000012265        |             0  COP|             0  UN |             0  UN |
|0000012276        |             0  COP|             0  UN |             0  UN |
|0000012287        |             0  COP|             0  UN |             0  UN |
|0000012298        |             0  COP|             0  UN |             0  UN |
|0000012302        |             0  COP|             0  UN |             0  UN |
|0000012313        |             0  COP|             0  UN |             0  UN |
|0000012324        |             0  COP|             0  UN |             0  UN |
|0000012335        |             0  COP|             0  UN |             0  UN |
|0000012380        |             0  COP|             0  UN |             0  UN |
|0000012841        |             0  COP|             0  UN |             0  UN |
|0000012852        |             0  COP|             0  UN |             0  UN |
|0000013376        |             0  COP|             0  UN |             0  UN |
|0000013413        |             0  COP|             0  UN |             0  UN |
|0000014351        |             0  COP|             0  UN |             0  UN |
|0000014775        |             0  COP|             0  UN |             0  UN |
|0000015381        |             0  COP|             0  UN |             0  UN |
|000686            |             0  COP|             0  UN |             0  UN |
|000701            |             0  COP|             0  UN |             0  UN |
|000789            |             0  COP|             0  UN |             0  UN |
|000985            |             0  COP|             0  UN |             0  UN |
|005175            |             0  COP|             0  UN |             0  UN |
|005186            |             0  COP|             0  UN |             0  UN |
|005267            |             0  COP|             0  UN |             0  UN |
|005717            |             0  COP|             0  UN |             0  UN |
|005843            |             0  COP|             0  UN |             0  UN |
|005865            |             0  COP|             0  UN |             0  UN |
|007652            |             0  COP|             0  UN |             0  UN |
|007674            |             0  COP|             0  UN |             0  UN |
|008198            |             0  COP|             0  UN |             0  UN |
|008202            |             0  COP|             0  UN |             0  UN |
|010571            |             0  COP|             0  UN |             0  UN |
|010582            |             0  COP|             0  UN |             0  UN |
|010593            |             0  COP|             0  UN |             0  UN |
|010892            |             0  COP|             0  UN |             0  UN |
|010940            |             0  COP|             0  UN |             0  UN |
|010951            |             0  COP|             0  UN |             0  UN |
|011062            |             0  COP|             0  UN |             0  UN |
|011109            |             0  COP|             0  UN |             0  UN |
|011176            |             0  COP|             0  UN |             0  UN |
|011187            |             0  COP|             0  UN |             0  UN |
|011822            |             0  COP|             0  UN |             0  UN |
|012140            |             0  COP|             0  UN |             0  UN |
|012184            |             0  COP|             0  UN |             0  UN |
|012195            |             0  COP|             0  UN |             0  UN |
|012209            |             0  COP|             0  UN |             0  UN |
|012243            |             0  COP|             0  UN |             0  UN |
|012254            |             0  COP|             0  UN |             0  UN |
|012405            |             0  COP|             0  UN |             0  UN |
|012427            |             0  COP|             0  UN |             0  UN |
|012704            |             0  COP|             0  UN |             0  UN |
|012715            |             0  COP|             0  UN |             0  UN |
|012737            |             0  COP|             0  UN |             0  UN |
|013077            |             0  COP|             0  UN |             0  UN |
|014454            |             0  COP|             0  UN |             0  UN |
|015587            |             0  COP|             0  UN |             0  UN |
|015602            |             0  COP|             0  UN |             0  UN |
|017282            |             0  COP|             0  UN |             0  UN |
|017341            |             0  COP|             0  UN |             0  UN |
|017547            |             0  COP|             0  UN |             0  UN |
|017651            |             0  COP|             0  UN |             0  UN |
|018359            |             0  COP|             0  UN |             0  UN |
|018360            |             0  COP|             0  UN |             0  UN |
|018371            |             0  COP|             0  UN |             0  UN |
|018407            |             0  COP|             0  UN |             0  UN |
|018418            |             0  COP|             0  UN |             0  UN |
|018429            |             0  COP|             0  UN |             0  UN |
|018441            |             0  COP|             0  UN |             0  UN |
|018452            |             0  COP|             0  UN |             0  UN |
|018463            |             0  COP|             0  UN |             0  UN |
|018485            |             0  COP|             0  UN |             0  UN |
|018500            |             0  COP|             0  UN |             0  UN |
|018511            |             0  COP|             0  UN |             0  UN |
|018533            |             0  COP|             0  UN |             0  UN |
|018544            |             0  COP|             0  UN |             0  UN |
|018636            |             0  COP|             0  UN |             0  UN |
|018647            |             0  COP|             0  UN |             0  UN |
|018658            |             0  COP|             0  UN |             0  UN |
|018773            |             0  COP|             0  UN |             0  UN |
|019068            |             0  COP|             0  UN |             0  UN |
|019769            |             0  COP|             0  UN |             0  UN |
|019792            |             0  COP|             0  UN |             0  UN |
|021072            |             0  COP|             0  UN |             0  UN |
|023283            |             0  COP|             0  UN |             0  UN |
|023294            |             0  COP|             0  UN |             0  UN |
|023548            |             0  COP|             0  UN |             0  UN |
|023559            |             0  COP|             0  UN |             0  UN |
|024497            |             0  COP|             0  UN |             0  UN |
|024501            |             0  COP|             0  UN |             0  UN |
|024512            |             0  COP|             0  UN |             0  UN |
|024545            |             0  COP|             0  UN |             0  UN |
|024590            |             0  COP|             0  UN |             0  UN |
|024604            |             0  COP|             0  UN |             0  UN |
|024615            |             0  COP|             0  UN |             0  UN |
|025771            |             0  COP|             0  UN |             0  UN |
|025874            |             0  COP|             0  UN |             0  UN |
|025885            |             0  COP|             0  UN |             0  UN |
|025896            |             0  COP|             0  UN |             0  UN |
|025900            |             0  COP|             0  UN |             0  UN |
|025911            |             0  COP|             0  UN |             0  UN |
|025999            |             0  COP|             0  UN |             0  UN |
|026011            |             0  COP|             0  UN |             0  UN |
|026022            |             0  COP|             0  UN |             0  UN |
|026033            |             0  COP|             0  UN |             0  UN |
|026044            |             0  COP|             0  UN |             0  UN |
|026147            |             0  COP|             0  UN |             0  UN |
|026262            |             0  COP|             0  UN |             0  UN |
|026273            |             0  COP|             0  UN |             0  UN |
|026284            |             0  COP|             0  UN |             0  UN |
|027155            |             0  COP|             0  UN |             0  UN |
|027269            |             0  COP|             0  UN |             0  UN |
|027270            |             0  COP|             0  UN |             0  UN |
|027281            |             0  COP|             0  UN |             0  UN |
|027591            |             0  COP|             0  UN |             0  UN |
|027605            |             0  COP|             0  UN |             0  UN |
|027627            |             0  COP|             0  UN |             0  UN |
|027650            |             0  COP|             0  UN |             0  UN |
|028163            |             0  COP|             0  UN |             0  UN |
|028174            |             0  COP|             0  UN |             0  UN |
|028185            |             0  COP|             0  UN |             0  UN |
|028196            |             0  COP|             0  UN |             0  UN |
|028211            |             0  COP|             0  UN |             0  UN |
|028222            |             0  COP|             0  UN |             0  UN |
|028233            |             0  COP|             0  UN |             0  UN |
|028244            |             0  COP|             0  UN |             0  UN |
|028255            |             0  COP|             0  UN |             0  UN |
|028266            |             0  COP|             0  UN |             0  UN |
|028277            |             0  COP|             0  UN |             0  UN |
|028288            |             0  COP|             0  UN |             0  UN |
|028495            |             0  COP|             0  UN |             0  UN |
|029908            |             0  COP|             0  UN |             0  UN |
|029931            |             0  COP|             0  UN |             0  UN |
|029942            |             0  COP|             0  UN |             0  UN |
|029964            |             0  COP|             0  UN |             0  UN |
|029975            |             0  COP|             0  UN |             0  UN |
|029986            |             0  COP|             0  UN |             0  UN |
|030007            |             0  COP|             0  UN |             0  UN |
|030074            |             0  COP|             0  UN |             0  UN |
|030096            |             0  COP|             0  UN |             0  UN |
|030111            |             0  COP|             0  UN |             0  UN |
|030122            |             0  COP|             0  UN |             0  UN |
|030144            |             0  COP|             0  UN |             0  UN |
|030166            |             0  COP|             0  UN |             0  UN |
|030177            |             0  COP|             0  UN |             0  UN |
|030616            |             0  COP|             0  UN |             0  UN |
|030638            |             0  COP|             0  UN |             0  UN |
|030649            |             0  COP|             0  UN |             0  UN |
|030650            |             0  COP|             0  UN |             0  UN |
|031244            |             0  COP|             0  UN |             0  UN |
|031439            |             0  COP|             0  UN |             0  UN |
|031440            |             0  COP|             0  UN |             0  UN |
|031451            |             0  COP|             0  UN |             0  UN |
|032193            |             0  COP|             0  UN |             0  UN |
|032207            |             0  COP|             0  UN |             0  UN |
|032366            |             0  COP|             0  UN |             0  UN |
|032377            |             0  COP|             0  UN |             0  UN |
|032388            |             0  COP|             0  UN |             0  UN |
|032399            |             0  COP|             0  UN |             0  UN |
|032425            |             0  COP|             0  UN |             0  UN |
